"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","PT_TRIALS_N","PT_TRIALS_PER_BLOCK","PT_BLOCKS","TEST_TRIALS_N","TEST_TRIALS_PER_BLOCK","TEST_BLOCKS","REWARD_PROBABILITIES","REWARD_PROBABILITIES_ITERATIONS","REWARD_TO_PREF_TRIALS_RATIO","STAGE_2_TRIAL_IMAGES_TIME","STAGE_2_TRIAL_TIME_LIMIT","STAGE_2_FEEDBACK_DURATION","STAGE_2_TOO_SLOW_FEEDBACK_DURATION","INITIAL_SCREEN_WIDTH","INITIAL_SCREEN_HEIGHT","FULLSCREEN_SCREEN_WIDTH","FULLSCREEN_SCREEN_HEIGHT","ACQUIRED_BONUS","view_history","rt","response","question_order","success","stimulus","slider_start","trial_name","block","trial","stage_1_trial_item_src","stage_1_trial_item_id","stage_1_trial_slider_rating","value","pt_trial","item_1_id","item_1_subjective_value","item_1_subjective_value_category","item_1_border_color","item_1_reward_prob","item_2_id","item_2_subjective_value","item_2_subjective_value_category","item_2_border_color","item_2_reward_prob","items_subjective_value_difference","selected_item","preference_response_consistent","acquired_points","cumulative_missed_prop_per_block","stage_3_trial_item_src","stage_3_trial_item_id","stage_3_trial_slider_rating","stage_3_img_rating_from_stage_1"
"pavlovia","0","2775","0.0-0.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","1","27828","0.0-1.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","[{""page_index"":0,""viewing_time"":25053}]","25054","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","2","132251","0.0-3.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","[{""page_index"":0,""viewing_time"":76583},{""page_index"":1,""viewing_time"":6884},{""page_index"":2,""viewing_time"":6434},{""page_index"":3,""viewing_time"":4464},{""page_index"":4,""viewing_time"":10053}]","104418","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","3","145879","0.0-4.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","13620","{""Q0"":""I agree"",""Q1"":""I agree"",""Q2"":""I agree"",""Q3"":""I agree"",""Q4"":""I agree""}","[0,1,2,3,4]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","4","158542","0.0-5.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","","","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","5","178857","0.0-6.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","[{""page_index"":0,""viewing_time"":12355},{""page_index"":1,""viewing_time"":4287},{""page_index"":2,""viewing_time"":3671}]","20313","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"image-slider-response","6","185813","0.0-7.0-0.0-0.0","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","6945","18","","","img/food_items/0308.jpg","50","stage_1_trial","0","0","img/food_items/0308.jpg","0308","18","","","","","","","","","","","","","","","","","","","","",""
"image-slider-response","7","189208","0.0-7.0-0.0-0.1","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","3388","0","","","img/food_items/0496.jpg","50","stage_1_trial","0","1","img/food_items/0496.jpg","0496","0","","","","","","","","","","","","","","","","","","","","",""
"image-slider-response","8","191846","0.0-7.0-0.0-0.2","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","2630","64","","","img/food_items/0614.jpg","50","stage_1_trial","0","2","img/food_items/0614.jpg","0614","64","","","","","","","","","","","","","","","","","","","","",""
"image-slider-response","9","196865","0.0-7.0-0.0-0.3","5ac78faa68b65b00018d72a1","61efc64a8ec3b24bc537c194","620d125fa734c9a6ce0ca2c8","10","10","1","360","90","4","[[0.2,0.8],[0.4,0.6]]","2","0.5","1200","2000","1000","750","1920","968","1920","1080","0.64","","5014","50","","","img/food_items/0041.jpg","50","stage_1_trial","0","3","img/food_items/0041.jpg","0041","50","","","","","","","","","","","","","","","","","","","","",""
